model,prompt_language,task,prompt_condition,metric,llm_n,human_n,llm_mean,human_mean,human_sd,signed_human_sd_scaled_mean_deviation,absolute_human_sd_scaled_mean_deviation,human_reference_lower,human_reference_upper,llm_mean_reference_position,llm_runs_within_human_reference_proportion
GPT-5.4,en,bart,baseline,explosion_rate,20,141,0.07125000000000001,0.2852836879432623,0.11354950627313778,-1.8849371958378642,1.8849371958378642,0.075,0.475,below,0.65
GPT-5.4 Mini,en,bart,baseline,explosion_rate,20,141,0.07875,0.2852836879432623,0.11354950627313778,-1.8188867104930921,1.8188867104930921,0.075,0.475,within,0.8
GPT-4.1,en,bart,detailed,explosion_rate,20,141,0.3025,0.2852836879432623,0.11354950627313778,0.1516194356259435,0.1516194356259435,0.075,0.475,within,1.0
GPT-4.1,es,bart,detailed,explosion_rate,20,141,0.24,0.2852836879432623,0.11354950627313778,-0.39880127558049105,0.39880127558049105,0.075,0.475,within,1.0
GPT-4.1,zh-CN,bart,detailed,explosion_rate,20,141,0.27625,0.2852836879432623,0.11354950627313778,-0.07955726308075897,0.07955726308075897,0.075,0.475,within,1.0
GPT-5.4,en,bart,detailed,explosion_rate,20,141,0.0725,0.2852836879432623,0.11354950627313778,-1.8739287816137356,1.8739287816137356,0.075,0.475,below,0.7
GPT-5.4 Mini,en,bart,detailed,explosion_rate,20,141,0.13749999999999998,0.2852836879432623,0.11354950627313778,-1.3014912419590439,1.3014912419590439,0.075,0.475,within,0.95
GPT-4.1,en,bart,risk_emphasis,explosion_rate,20,141,0.29375000000000007,0.2852836879432623,0.11354950627313778,0.07456053605704333,0.07456053605704333,0.075,0.475,within,1.0
GPT-4.1,es,bart,risk_emphasis,explosion_rate,20,141,0.19625,0.2852836879432623,0.11354950627313778,-0.784095773424995,0.784095773424995,0.075,0.475,within,1.0
GPT-4.1,zh-CN,bart,risk_emphasis,explosion_rate,20,141,0.25625000000000003,0.2852836879432623,0.11354950627313778,-0.2556918906668177,0.2556918906668177,0.075,0.475,within,1.0
GPT-5.4,en,bart,risk_emphasis,explosion_rate,20,141,0.07875,0.2852836879432623,0.11354950627313778,-1.8188867104930921,1.8188867104930921,0.075,0.475,within,0.8
GPT-5.4 Mini,en,bart,risk_emphasis,explosion_rate,20,141,0.0425,0.2852836879432623,0.11354950627313778,-2.138130722992824,2.138130722992824,0.075,0.475,below,0.1
GPT-4.1,en,bart,role_human,explosion_rate,20,141,0.25375,0.2852836879432623,0.11354950627313778,-0.2777087191150756,0.2777087191150756,0.075,0.475,within,1.0
GPT-4.1,es,bart,role_human,explosion_rate,20,141,0.18624999999999997,0.2852836879432623,0.11354950627313778,-0.8721630872180249,0.8721630872180249,0.075,0.475,within,1.0
GPT-4.1,zh-CN,bart,role_human,explosion_rate,20,141,0.2587500000000001,0.2852836879432623,0.11354950627313778,-0.2336750622185598,0.2336750622185598,0.075,0.475,within,1.0
GPT-5.4,en,bart,role_human,explosion_rate,20,141,0.043750000000000004,0.2852836879432623,0.11354950627313778,-2.1271223087686955,2.1271223087686955,0.075,0.475,below,0.15
GPT-5.4 Mini,en,bart,role_human,explosion_rate,20,141,0.09499999999999999,0.2852836879432623,0.11354950627313778,-1.6757773255794193,1.6757773255794193,0.075,0.475,within,0.9
GPT-4.1,en,bart,baseline,post_explosion_adjustment,20,140,0.30276612276612275,1.191158698327816,1.6083963663794754,-0.5523467934471143,0.5523467934471143,-1.6786931818181818,4.4923214285714295,within,0.95
GPT-4.1,es,bart,baseline,post_explosion_adjustment,20,140,0.31704365079365077,1.191158698327816,1.6083963663794754,-0.5434699218463241,0.5434699218463241,-1.6786931818181818,4.4923214285714295,within,0.95
GPT-4.1,zh-CN,bart,baseline,post_explosion_adjustment,20,140,0.8368670218670218,1.191158698327816,1.6083963663794754,-0.22027634721552505,0.22027634721552505,-1.6786931818181818,4.4923214285714295,within,1.0
GPT-5.4,en,bart,baseline,post_explosion_adjustment,20,140,-1.2666666666666668,1.191158698327816,1.6083963663794754,-1.5281216846610297,1.5281216846610297,-1.6786931818181818,4.4923214285714295,within,0.7
GPT-5.4 Mini,en,bart,baseline,post_explosion_adjustment,20,140,-0.9416666666666668,1.191158698327816,1.6083963663794754,-1.3260570650227872,1.3260570650227872,-1.6786931818181818,4.4923214285714295,within,0.7
GPT-4.1,en,bart,detailed,post_explosion_adjustment,20,140,-1.0042016317016318,1.191158698327816,1.6083963663794754,-1.3649373847885748,1.3649373847885748,-1.6786931818181818,4.4923214285714295,within,0.75
GPT-4.1,es,bart,detailed,post_explosion_adjustment,20,140,0.404040404040404,1.191158698327816,1.6083963663794754,-0.48938079613996344,0.48938079613996344,-1.6786931818181818,4.4923214285714295,within,0.95
GPT-4.1,zh-CN,bart,detailed,post_explosion_adjustment,20,140,0.5282264957264956,1.191158698327816,1.6083963663794754,-0.41216967189100956,0.41216967189100956,-1.6786931818181818,4.4923214285714295,within,1.0
GPT-5.4,en,bart,detailed,post_explosion_adjustment,20,140,-0.8375,1.191158698327816,1.6083963663794754,-1.261292763856684,1.261292763856684,-1.6786931818181818,4.4923214285714295,within,0.8
GPT-5.4 Mini,en,bart,detailed,post_explosion_adjustment,20,140,-0.7864285714285715,1.191158698327816,1.6083963663794754,-1.2295397521992457,1.2295397521992457,-1.6786931818181818,4.4923214285714295,within,0.85
GPT-4.1,en,bart,risk_emphasis,post_explosion_adjustment,20,140,-0.12343406593406588,1.191158698327816,1.6083963663794754,-0.8173313442761936,0.8173313442761936,-1.6786931818181818,4.4923214285714295,within,0.95
GPT-4.1,es,bart,risk_emphasis,post_explosion_adjustment,20,140,0.847361111111111,1.191158698327816,1.6083963663794754,-0.21375178059535072,0.21375178059535072,-1.6786931818181818,4.4923214285714295,within,1.0
GPT-4.1,zh-CN,bart,risk_emphasis,post_explosion_adjustment,20,140,0.9033426295926296,1.191158698327816,1.6083963663794754,-0.17894598293769137,0.17894598293769137,-1.6786931818181818,4.4923214285714295,within,0.95
GPT-5.4,en,bart,risk_emphasis,post_explosion_adjustment,20,140,-1.0133333333333332,1.191158698327816,1.6083963663794754,-1.3706149042250664,1.3706149042250664,-1.6786931818181818,4.4923214285714295,within,0.85
GPT-5.4 Mini,en,bart,risk_emphasis,post_explosion_adjustment,20,140,-1.2916666666666667,1.191158698327816,1.6083963663794754,-1.5436651169408946,1.5436651169408946,-1.6786931818181818,4.4923214285714295,within,0.8
GPT-4.1,en,bart,role_human,post_explosion_adjustment,20,140,-0.6807431457431458,1.191158698327816,1.6083963663794754,-1.163831181914842,1.163831181914842,-1.6786931818181818,4.4923214285714295,within,0.8
GPT-4.1,es,bart,role_human,post_explosion_adjustment,20,140,0.48650793650793644,1.191158698327816,1.6083963663794754,-0.4381076558920977,0.4381076558920977,-1.6786931818181818,4.4923214285714295,within,0.95
GPT-4.1,zh-CN,bart,role_human,post_explosion_adjustment,20,140,0.44281565656565663,1.191158698327816,1.6083963663794754,-0.4652727756695266,0.4652727756695266,-1.6786931818181818,4.4923214285714295,within,0.95
GPT-5.4,en,bart,role_human,post_explosion_adjustment,20,140,-1.0,1.191158698327816,1.6083963663794754,-1.362325073675805,1.362325073675805,-1.6786931818181818,4.4923214285714295,within,0.8
GPT-5.4 Mini,en,bart,role_human,post_explosion_adjustment,20,140,-0.8441666666666668,1.191158698327816,1.6083963663794754,-1.2654376791313147,1.2654376791313147,-1.6786931818181818,4.4923214285714295,within,0.8
GPT-4.1,en,horizon,baseline,directed_exploration,20,60,0.5425000000000001,0.5441666666666667,0.082786695825173,-0.020132059264525083,0.020132059264525083,0.37796874999999996,0.69765625,within,0.9
GPT-4.1,es,horizon,baseline,directed_exploration,20,60,0.6425,0.5441666666666667,0.082786695825173,1.1877914966070309,1.1877914966070309,0.37796874999999996,0.69765625,within,0.6
GPT-4.1,zh-CN,horizon,baseline,directed_exploration,20,60,0.5225,0.5441666666666667,0.082786695825173,-0.2617167704388381,0.2617167704388381,0.37796874999999996,0.69765625,within,1.0
GPT-5.4,en,horizon,baseline,directed_exploration,20,60,0.5075000000000001,0.5441666666666667,0.082786695825173,-0.44290530381957055,0.44290530381957055,0.37796874999999996,0.69765625,within,0.9
GPT-5.4 Mini,en,horizon,baseline,directed_exploration,20,60,0.365,0.5441666666666667,0.082786695825173,-2.164196370936541,2.164196370936541,0.37796874999999996,0.69765625,below,0.45
GPT-4.1,en,horizon,detailed,directed_exploration,20,60,0.58,0.5441666666666667,0.082786695825173,0.4328392741873074,0.4328392741873074,0.37796874999999996,0.69765625,within,0.85
GPT-4.1,es,horizon,detailed,directed_exploration,20,60,0.6000000000000002,0.5441666666666667,0.082786695825173,0.6744239853616217,0.6744239853616217,0.37796874999999996,0.69765625,within,0.75
GPT-4.1,zh-CN,horizon,detailed,directed_exploration,20,60,0.495,0.5441666666666667,0.082786695825173,-0.5938957483035161,0.5938957483035161,0.37796874999999996,0.69765625,within,0.9
GPT-5.4,en,horizon,detailed,directed_exploration,20,60,0.5,0.5441666666666667,0.082786695825173,-0.5334995705099381,0.5334995705099381,0.37796874999999996,0.69765625,within,1.0
GPT-5.4 Mini,en,horizon,detailed,directed_exploration,20,60,0.3875,0.5441666666666667,0.082786695825173,-1.8924135708654402,1.8924135708654402,0.37796874999999996,0.69765625,within,0.5
GPT-4.1,en,horizon,role_human,directed_exploration,20,60,0.485,0.5441666666666667,0.082786695825173,-0.7146881038906719,0.7146881038906719,0.37796874999999996,0.69765625,within,0.9
GPT-4.1,es,horizon,role_human,directed_exploration,20,60,0.57,0.5441666666666667,0.082786695825173,0.3120469186001515,0.3120469186001515,0.37796874999999996,0.69765625,within,0.9
GPT-4.1,zh-CN,horizon,role_human,directed_exploration,20,60,0.555,0.5441666666666667,0.082786695825173,0.13085838521941906,0.13085838521941906,0.37796874999999996,0.69765625,within,0.85
GPT-5.4,en,horizon,role_human,directed_exploration,20,60,0.5025000000000001,0.5441666666666667,0.082786695825173,-0.5033014816131485,0.5033014816131485,0.37796874999999996,0.69765625,within,0.95
GPT-5.4 Mini,en,horizon,role_human,directed_exploration,20,60,0.4050000000000001,0.5441666666666667,0.082786695825173,-1.6810269485879168,1.6810269485879168,0.37796874999999996,0.69765625,within,0.65
GPT-4.1,en,horizon,uncertainty_emphasis,directed_exploration,20,60,0.6874999999999999,0.5441666666666667,0.082786695825173,1.7313570967492309,1.7313570967492309,0.37796874999999996,0.69765625,within,0.5
GPT-4.1,es,horizon,uncertainty_emphasis,directed_exploration,20,60,0.6125,0.5441666666666667,0.082786695825173,0.8254144298455646,0.8254144298455646,0.37796874999999996,0.69765625,within,0.8
GPT-4.1,zh-CN,horizon,uncertainty_emphasis,directed_exploration,20,60,0.5700000000000001,0.5441666666666667,0.082786695825173,0.3120469186001528,0.3120469186001528,0.37796874999999996,0.69765625,within,0.85
GPT-5.4,en,horizon,uncertainty_emphasis,directed_exploration,20,60,0.505,0.5441666666666667,0.082786695825173,-0.4731033927163602,0.4731033927163602,0.37796874999999996,0.69765625,within,0.9
GPT-5.4 Mini,en,horizon,uncertainty_emphasis,directed_exploration,20,60,0.36249999999999993,0.5441666666666667,0.082786695825173,-2.1943944598333305,2.1943944598333305,0.37796874999999996,0.69765625,below,0.45
GPT-4.1,en,horizon,baseline,horizon_effect,20,60,-0.009999999999999998,0.11082527130415917,0.08717111486880876,-1.3860700472398388,1.3860700472398388,-0.00016214622641509517,0.31131387578616354,below,0.5
GPT-4.1,es,horizon,baseline,horizon_effect,20,60,0.0175,0.11082527130415917,0.08717111486880876,-1.0705985743627615,1.0705985743627615,-0.00016214622641509517,0.31131387578616354,within,0.8
GPT-4.1,zh-CN,horizon,baseline,horizon_effect,20,60,-6.938893903907229e-19,0.11082527130415917,0.08717111486880876,-1.2713531480118108,1.2713531480118108,-0.00016214622641509517,0.31131387578616354,within,0.6
GPT-5.4,en,horizon,baseline,horizon_effect,20,60,0.002500000000000001,0.11082527130415917,0.08717111486880876,-1.2426739232048036,1.2426739232048036,-0.00016214622641509517,0.31131387578616354,within,0.65
GPT-5.4 Mini,en,horizon,baseline,horizon_effect,20,60,-0.017499999999999998,0.11082527130415917,0.08717111486880876,-1.4721077216608598,1.4721077216608598,-0.00016214622641509517,0.31131387578616354,below,0.7
GPT-4.1,en,horizon,detailed,horizon_effect,20,60,0.0025000000000000022,0.11082527130415917,0.08717111486880876,-1.2426739232048036,1.2426739232048036,-0.00016214622641509517,0.31131387578616354,within,0.65
GPT-4.1,es,horizon,detailed,horizon_effect,20,60,0.02499999999999999,0.11082527130415917,0.08717111486880876,-0.9845608999417405,0.9845608999417405,-0.00016214622641509517,0.31131387578616354,within,0.7
GPT-4.1,zh-CN,horizon,detailed,horizon_effect,20,60,0.007499999999999998,0.11082527130415917,0.08717111486880876,-1.1853154735907898,1.1853154735907898,-0.00016214622641509517,0.31131387578616354,within,0.75
GPT-5.4,en,horizon,detailed,horizon_effect,20,60,0.007499999999999998,0.11082527130415917,0.08717111486880876,-1.1853154735907898,1.1853154735907898,-0.00016214622641509517,0.31131387578616354,within,0.7
GPT-5.4 Mini,en,horizon,detailed,horizon_effect,20,60,0.015000000000000003,0.11082527130415917,0.08717111486880876,-1.0992777991697684,1.0992777991697684,-0.00016214622641509517,0.31131387578616354,within,0.7
GPT-4.1,en,horizon,role_human,horizon_effect,20,60,-0.002500000000000001,0.11082527130415917,0.08717111486880876,-1.300032372818818,1.300032372818818,-0.00016214622641509517,0.31131387578616354,below,0.65
GPT-4.1,es,horizon,role_human,horizon_effect,20,60,0.034999999999999996,0.11082527130415917,0.08717111486880876,-0.8698440007137122,0.8698440007137122,-0.00016214622641509517,0.31131387578616354,within,0.75
GPT-4.1,zh-CN,horizon,role_human,horizon_effect,20,60,0.0125,0.11082527130415917,0.08717111486880876,-1.1279570239767756,1.1279570239767756,-0.00016214622641509517,0.31131387578616354,within,0.65
GPT-5.4,en,horizon,role_human,horizon_effect,20,60,-0.0024999999999999988,0.11082527130415917,0.08717111486880876,-1.300032372818818,1.300032372818818,-0.00016214622641509517,0.31131387578616354,below,0.7
GPT-5.4 Mini,en,horizon,role_human,horizon_effect,20,60,0.005000000000000002,0.11082527130415917,0.08717111486880876,-1.2139946983977967,1.2139946983977967,-0.00016214622641509517,0.31131387578616354,within,0.65
GPT-4.1,en,horizon,uncertainty_emphasis,horizon_effect,20,60,0.04250000000000001,0.11082527130415917,0.08717111486880876,-0.783806326292691,0.783806326292691,-0.00016214622641509517,0.31131387578616354,within,0.55
GPT-4.1,es,horizon,uncertainty_emphasis,horizon_effect,20,60,0.017500000000000005,0.11082527130415917,0.08717111486880876,-1.0705985743627615,1.0705985743627615,-0.00016214622641509517,0.31131387578616354,within,0.7
GPT-4.1,zh-CN,horizon,uncertainty_emphasis,horizon_effect,20,60,0.04000000000000001,0.11082527130415917,0.08717111486880876,-0.8124855510996981,0.8124855510996981,-0.00016214622641509517,0.31131387578616354,within,0.9
GPT-5.4,en,horizon,uncertainty_emphasis,horizon_effect,20,60,0.015000000000000003,0.11082527130415917,0.08717111486880876,-1.0992777991697684,1.0992777991697684,-0.00016214622641509517,0.31131387578616354,within,0.8
GPT-5.4 Mini,en,horizon,uncertainty_emphasis,horizon_effect,20,60,0.007499999999999998,0.11082527130415917,0.08717111486880876,-1.1853154735907898,1.1853154735907898,-0.00016214622641509517,0.31131387578616354,within,0.7
GPT-4.1,en,horizon,baseline,random_exploration_effect,20,60,0.2710818916466041,8.909982267051527,6.390323619888572,-1.351872125617882,1.351872125617882,1.5685572698629873,25.397343561327602,below,0.15
GPT-4.1,es,horizon,baseline,random_exploration_effect,20,60,0.2678331192411171,8.909982267051527,6.390323619888572,-1.3523805149575667,1.3523805149575667,1.5685572698629873,25.397343561327602,below,0.3
GPT-4.1,zh-CN,horizon,baseline,random_exploration_effect,20,60,0.29523652281927343,8.909982267051527,6.390323619888572,-1.3480922495725607,1.3480922495725607,1.5685572698629873,25.397343561327602,below,0.15
GPT-5.4,en,horizon,baseline,random_exploration_effect,20,60,0.12212513461423646,8.909982267051527,6.390323619888572,-1.3751818616958438,1.3751818616958438,1.5685572698629873,25.397343561327602,below,0.05
GPT-5.4 Mini,en,horizon,baseline,random_exploration_effect,20,60,-1.2911860384314642,8.909982267051527,6.390323619888572,-1.596346118330212,1.596346118330212,1.5685572698629873,25.397343561327602,below,0.0
GPT-4.1,en,horizon,detailed,random_exploration_effect,20,60,-0.13166394168092138,8.909982267051527,6.390323619888572,-1.4148964507199884,1.4148964507199884,1.5685572698629873,25.397343561327602,below,0.1
GPT-4.1,es,horizon,detailed,random_exploration_effect,20,60,0.36980933409346145,8.909982267051527,6.390323619888572,-1.33642260407259,1.33642260407259,1.5685572698629873,25.397343561327602,below,0.2
GPT-4.1,zh-CN,horizon,detailed,random_exploration_effect,20,60,-0.12444838937643743,8.909982267051527,6.390323619888572,-1.4137673134910025,1.4137673134910025,1.5685572698629873,25.397343561327602,below,0.05
GPT-5.4,en,horizon,detailed,random_exploration_effect,20,60,0.44516187609689695,8.909982267051527,6.390323619888572,-1.324630941163858,1.324630941163858,1.5685572698629873,25.397343561327602,below,0.05
GPT-5.4 Mini,en,horizon,detailed,random_exploration_effect,20,60,0.059504791813412804,8.909982267051527,6.390323619888572,-1.384981106073066,1.384981106073066,1.5685572698629873,25.397343561327602,below,0.0
GPT-4.1,en,horizon,role_human,random_exploration_effect,20,60,0.20819706582003922,8.909982267051527,6.390323619888572,-1.3617127580438908,1.3617127580438908,1.5685572698629873,25.397343561327602,below,0.0
GPT-4.1,es,horizon,role_human,random_exploration_effect,20,60,0.6798813443917531,8.909982267051527,6.390323619888572,-1.2879004902107418,1.2879004902107418,1.5685572698629873,25.397343561327602,below,0.25
GPT-4.1,zh-CN,horizon,role_human,random_exploration_effect,20,60,0.24037340827826315,8.909982267051527,6.390323619888572,-1.356677591693617,1.356677591693617,1.5685572698629873,25.397343561327602,below,0.25
GPT-5.4,en,horizon,role_human,random_exploration_effect,20,60,-0.1265324516805672,8.909982267051527,6.390323619888572,-1.4140934413098885,1.4140934413098885,1.5685572698629873,25.397343561327602,below,0.0
GPT-5.4 Mini,en,horizon,role_human,random_exploration_effect,20,60,0.5938234812624452,8.909982267051527,6.390323619888572,-1.301367392397271,1.301367392397271,1.5685572698629873,25.397343561327602,below,0.0
GPT-4.1,en,horizon,uncertainty_emphasis,random_exploration_effect,20,60,1.870474239284595,8.909982267051527,6.390323619888572,-1.101588659118594,1.101588659118594,1.5685572698629873,25.397343561327602,within,0.5
GPT-4.1,es,horizon,uncertainty_emphasis,random_exploration_effect,20,60,1.5272434228857015,8.909982267051527,6.390323619888572,-1.1552996817232486,1.1552996817232486,1.5685572698629873,25.397343561327602,below,0.55
GPT-4.1,zh-CN,horizon,uncertainty_emphasis,random_exploration_effect,20,60,1.592129773675944,8.909982267051527,6.390323619888572,-1.1451458374659254,1.1451458374659254,1.5685572698629873,25.397343561327602,within,0.45
GPT-5.4,en,horizon,uncertainty_emphasis,random_exploration_effect,20,60,0.28013895311632264,8.909982267051527,6.390323619888572,-1.3504548168854213,1.3504548168854213,1.5685572698629873,25.397343561327602,below,0.0
GPT-5.4 Mini,en,horizon,uncertainty_emphasis,random_exploration_effect,20,60,-0.3457033873658604,8.909982267051527,6.390323619888572,-1.4483907552993034,1.4483907552993034,1.5685572698629873,25.397343561327602,below,0.0
GPT-4.1,en,igt,baseline,advantageous_choice_rate,20,504,0.9080000000000001,0.5380952380952376,0.15892013466496727,2.327614198695398,2.327614198695398,0.20575000000000002,0.85,above,0.0
GPT-4.1,es,igt,baseline,advantageous_choice_rate,20,504,0.8770000000000003,0.5380952380952376,0.15892013466496727,2.1325476637635377,2.1325476637635377,0.20575000000000002,0.85,above,0.0
GPT-4.1,zh-CN,igt,baseline,advantageous_choice_rate,20,504,0.924,0.5380952380952376,0.15892013466496727,2.428293700595713,2.428293700595713,0.20575000000000002,0.85,above,0.0
GPT-5.4,en,igt,baseline,advantageous_choice_rate,20,504,0.8940000000000001,0.5380952380952376,0.15892013466496727,2.2395196345326216,2.2395196345326216,0.20575000000000002,0.85,above,0.0
GPT-5.4 Mini,en,igt,baseline,advantageous_choice_rate,20,504,0.8504999999999997,0.5380952380952376,0.15892013466496727,1.9657972387411355,1.9657972387411355,0.20575000000000002,0.85,above,0.5
GPT-4.1,en,igt,detailed,advantageous_choice_rate,20,504,0.8669999999999998,0.5380952380952376,0.15892013466496727,2.069622975075837,2.069622975075837,0.20575000000000002,0.85,above,0.0
GPT-4.1,es,igt,detailed,advantageous_choice_rate,20,504,0.8619999999999999,0.5380952380952376,0.15892013466496727,2.0381606307319884,2.0381606307319884,0.20575000000000002,0.85,above,0.0
GPT-4.1,zh-CN,igt,detailed,advantageous_choice_rate,20,504,0.8790000000000002,0.5380952380952376,0.15892013466496727,2.1451326015010763,2.1451326015010763,0.20575000000000002,0.85,above,0.0
GPT-5.4,en,igt,detailed,advantageous_choice_rate,20,504,0.9349999999999999,0.5380952380952376,0.15892013466496727,2.497510858152179,2.497510858152179,0.20575000000000002,0.85,above,0.0
GPT-5.4 Mini,en,igt,detailed,advantageous_choice_rate,20,504,0.8669999999999998,0.5380952380952376,0.15892013466496727,2.069622975075837,2.069622975075837,0.20575000000000002,0.85,above,0.15
GPT-4.1,en,igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.969,0.5380952380952376,0.15892013466496727,2.7114547996903506,2.7114547996903506,0.20575000000000002,0.85,above,0.0
GPT-4.1,es,igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.8810000000000002,0.5380952380952376,0.15892013466496727,2.157717539238616,2.157717539238616,0.20575000000000002,0.85,above,0.0
GPT-4.1,zh-CN,igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.8639999999999999,0.5380952380952376,0.15892013466496727,2.050745568469528,2.050745568469528,0.20575000000000002,0.85,above,0.2
GPT-5.4,en,igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.967,0.5380952380952376,0.15892013466496727,2.698869861952811,2.698869861952811,0.20575000000000002,0.85,above,0.0
GPT-5.4 Mini,en,igt,reward_loss_emphasis,advantageous_choice_rate,20,504,0.8625,0.5380952380952376,0.15892013466496727,2.0413068651663746,2.0413068651663746,0.20575000000000002,0.85,above,0.1
GPT-4.1,en,igt,role_human,advantageous_choice_rate,20,504,0.9020000000000001,0.5380952380952376,0.15892013466496727,2.2898593854827793,2.2898593854827793,0.20575000000000002,0.85,above,0.0
GPT-4.1,es,igt,role_human,advantageous_choice_rate,20,504,0.8800000000000002,0.5380952380952376,0.15892013466496727,2.151425070369846,2.151425070369846,0.20575000000000002,0.85,above,0.0
GPT-4.1,zh-CN,igt,role_human,advantageous_choice_rate,20,504,0.9279999999999999,0.5380952380952376,0.15892013466496727,2.4534635760707912,2.4534635760707912,0.20575000000000002,0.85,above,0.05
GPT-5.4,en,igt,role_human,advantageous_choice_rate,20,504,0.9285,0.5380952380952376,0.15892013466496727,2.4566098105051766,2.4566098105051766,0.20575000000000002,0.85,above,0.0
