task,prompt_condition,metric,model_a,model_b,model_a_n,model_b_n,model_a_mean,model_b_mean,model_b_minus_model_a,cross_model_hedges_g
bart,risk_emphasis,post_explosion_adjustment,GPT-5.4,GPT-5.4 Mini,20,20,-1.0133333333333334,-1.2916666666666667,-0.2783333333333333,-0.21147127741017446
bart,role_human,adjusted_average_pumps,GPT-5.4,GPT-5.4 Mini,20,20,1.6174362621731042,2.9507600313714866,1.3333237691983824,1.9435821431122076
bart,role_human,average_earning_per_balloon,GPT-5.4,GPT-5.4 Mini,20,20,0.07731249999999998,0.13324999999999998,0.0559375,1.7829152867101923
bart,role_human,average_pumps,GPT-5.4,GPT-5.4 Mini,20,20,1.62875,2.99375,1.365,2.1398750824446697
bart,role_human,explosion_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.043750000000000004,0.095,0.05125,2.037620053307149
bart,role_human,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
bart,role_human,n_balloons,GPT-5.4,GPT-5.4 Mini,20,20,40.0,40.0,0.0,
bart,role_human,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,103.4,155.95,52.54999999999998,2.071179150973387
bart,role_human,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
bart,role_human,post_explosion_adjustment,GPT-5.4,GPT-5.4 Mini,20,20,-1.0,-0.8441666666666667,0.15583333333333327,0.13503493401587602
horizon,baseline,average_reward_per_trial,GPT-5.4,GPT-5.4 Mini,20,20,52.867666666666665,52.702,-0.16566666666666663,-0.08389153374804784
horizon,baseline,directed_exploration,GPT-5.4,GPT-5.4 Mini,20,20,0.5075000000000001,0.365,-0.14250000000000007,-1.6987540734741253
horizon,baseline,exploration_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.044642857142857144,0.09178571428571429,0.047142857142857146,1.3074015378445556
horizon,baseline,horizon_effect,GPT-5.4,GPT-5.4 Mini,20,20,0.0024999999999999996,-0.0175,-0.02,-0.2613686534216335
horizon,baseline,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.05,0.05,0.3099450951688213
horizon,baseline,n_games,GPT-5.4,GPT-5.4 Mini,20,20,40.0,40.0,0.0,
horizon,baseline,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,300.0,300.0,0.0,
horizon,baseline,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,0.9998338870431893,-0.00016611295681068228,-0.30994509516891455
horizon,baseline,random_exploration_effect,GPT-5.4,GPT-5.4 Mini,20,20,0.12212513461423649,-1.291186038431464,-1.4133111730457004,-1.3904232064973734
horizon,baseline,switching_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.3851170568561873,0.37642140468227425,-0.008695652173913049,-0.5889283515689517
horizon,detailed,average_reward_per_trial,GPT-5.4,GPT-5.4 Mini,20,20,52.858,52.71666666666667,-0.14133333333332843,-0.07060307218950235
horizon,detailed,directed_exploration,GPT-5.4,GPT-5.4 Mini,20,20,0.5,0.3875,-0.11249999999999999,-1.2746277868570777
horizon,detailed,exploration_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.04964285714285714,0.08857142857142856,0.038928571428571423,1.035229077980777
horizon,detailed,horizon_effect,GPT-5.4,GPT-5.4 Mini,20,20,0.007499999999999999,0.015000000000000003,0.007500000000000004,0.10625547733699808
horizon,detailed,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
horizon,detailed,n_games,GPT-5.4,GPT-5.4 Mini,20,20,40.0,40.0,0.0,
horizon,detailed,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,300.0,300.0,0.0,
horizon,detailed,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
horizon,detailed,random_exploration_effect,GPT-5.4,GPT-5.4 Mini,20,20,0.445161876096897,0.059504791813412804,-0.3856570842834842,-0.6330004866394725
horizon,detailed,switching_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.38461538461538464,0.3749163879598662,-0.009698996655518433,-0.6157234272585552
horizon,role_human,average_reward_per_trial,GPT-5.4,GPT-5.4 Mini,20,20,52.900666666666666,52.72533333333333,-0.17533333333333445,-0.08853862491983877
horizon,role_human,directed_exploration,GPT-5.4,GPT-5.4 Mini,20,20,0.5025000000000001,0.405,-0.09750000000000003,-1.0998534733847058
horizon,role_human,exploration_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.04392857142857143,0.08142857142857143,0.037500000000000006,1.0461535415510512
horizon,role_human,horizon_effect,GPT-5.4,GPT-5.4 Mini,20,20,-0.0025,0.005000000000000002,0.0075000000000000015,0.10774685521809253
horizon,role_human,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
horizon,role_human,n_games,GPT-5.4,GPT-5.4 Mini,20,20,40.0,40.0,0.0,
horizon,role_human,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,300.0,300.0,0.0,
horizon,role_human,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
horizon,role_human,random_exploration_effect,GPT-5.4,GPT-5.4 Mini,20,20,-0.1265324516805672,0.5938234812624451,0.7203559329430123,1.3379645882449722
horizon,role_human,switching_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.3839464882943144,0.37541806020066887,-0.008528428093645513,-0.5607349836633378
horizon,uncertainty_emphasis,average_reward_per_trial,GPT-5.4,GPT-5.4 Mini,20,20,52.922666666666665,52.693333333333335,-0.2293333333333294,-0.11754209957131008
horizon,uncertainty_emphasis,directed_exploration,GPT-5.4,GPT-5.4 Mini,20,20,0.505,0.3625,-0.14250000000000002,-1.6604133596974444
horizon,uncertainty_emphasis,exploration_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.031071428571428573,0.09321428571428571,0.06214285714285714,1.8779166764699038
horizon,uncertainty_emphasis,horizon_effect,GPT-5.4,GPT-5.4 Mini,20,20,0.015,0.007499999999999999,-0.007500000000000001,-0.10482436179761602
horizon,uncertainty_emphasis,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
horizon,uncertainty_emphasis,n_games,GPT-5.4,GPT-5.4 Mini,20,20,40.0,40.0,0.0,
horizon,uncertainty_emphasis,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,300.0,300.0,0.0,
horizon,uncertainty_emphasis,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
horizon,uncertainty_emphasis,random_exploration_effect,GPT-5.4,GPT-5.4 Mini,20,20,0.28013895311632264,-0.3457033873658604,-0.6258423404821831,-0.8977147266078292
horizon,uncertainty_emphasis,switching_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.3834448160535117,0.3749163879598662,-0.008528428093645513,-0.5639563333854154
igt,baseline,advantageous_choice_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.894,0.8505,-0.04349999999999998,-1.5770257678735862
igt,baseline,average_net_outcome,GPT-5.4,GPT-5.4 Mini,20,20,22.2625,19.9875,-2.2749999999999986,-2.204741517227713
igt,baseline,deck_A_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.016,0.0495,0.0335,3.4840508493504907
igt,baseline,deck_B_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.09000000000000001,0.1,0.009999999999999995,0.45033978262899604
igt,baseline,deck_C_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.1575,0.029500000000000002,-0.128,-1.9923844426391324
igt,baseline,deck_D_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.7365,0.8210000000000001,0.08450000000000002,1.7696210815748994
igt,baseline,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
igt,baseline,learning_curve_change,GPT-5.4,GPT-5.4 Mini,20,20,21.2,29.3,8.100000000000001,1.4003372046681846
igt,baseline,learning_slope,GPT-5.4,GPT-5.4 Mini,20,20,4.239999999999999,5.92,1.6800000000000006,1.496604105656672
igt,baseline,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,100.0,100.0,0.0,
igt,baseline,net_score,GPT-5.4,GPT-5.4 Mini,20,20,78.8,70.1,-8.700000000000003,-1.577025767873587
igt,baseline,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
igt,baseline,post_loss_switching_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.6012228776125835,0.4169522144522145,-0.18427066316036905,-1.4545705977473855
igt,detailed,advantageous_choice_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.935,0.867,-0.06800000000000006,-1.3655676078286905
igt,detailed,average_net_outcome,GPT-5.4,GPT-5.4 Mini,20,20,23.2125,20.8,-2.412499999999998,-1.435472282847697
igt,detailed,deck_A_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.01,0.038,0.027999999999999997,2.198739327247077
igt,detailed,deck_B_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.055,0.095,0.04,0.9949712959634454
igt,detailed,deck_C_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.3255,0.07100000000000001,-0.2545,-1.4970030556181564
igt,detailed,deck_D_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.6095,0.7959999999999999,0.1864999999999999,1.434337125912025
igt,detailed,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
igt,detailed,learning_curve_change,GPT-5.4,GPT-5.4 Mini,20,20,13.0,25.1,12.100000000000001,1.1502228854441223
igt,detailed,learning_slope,GPT-5.4,GPT-5.4 Mini,20,20,2.5999999999999996,5.069999999999999,2.4699999999999998,1.17040801936138
igt,detailed,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,100.0,100.0,0.0,
igt,detailed,net_score,GPT-5.4,GPT-5.4 Mini,20,20,87.0,73.4,-13.599999999999994,-1.365567607828689
igt,detailed,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
igt,detailed,post_loss_switching_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.5609172631180744,0.43055403945647847,-0.13036322366159597,-0.6519222767351323
igt,reward_loss_emphasis,advantageous_choice_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.967,0.8625,-0.10449999999999993,-2.7222117294063515
igt,reward_loss_emphasis,average_net_outcome,GPT-5.4,GPT-5.4 Mini,20,20,23.7,20.9125,-2.787499999999998,-1.633065312432589
igt,reward_loss_emphasis,deck_A_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.003,0.0375,0.034499999999999996,3.577468118910337
igt,reward_loss_emphasis,deck_B_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.030000000000000002,0.1,0.07,2.0637161423473342
igt,reward_loss_emphasis,deck_C_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.3635,0.021,-0.34249999999999997,-3.449732661079406
igt,reward_loss_emphasis,deck_D_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.6035,0.8415,0.238,3.0147637058587335
igt,reward_loss_emphasis,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
igt,reward_loss_emphasis,learning_curve_change,GPT-5.4,GPT-5.4 Mini,20,20,6.6,27.2,20.6,2.6955673453627824
igt,reward_loss_emphasis,learning_slope,GPT-5.4,GPT-5.4 Mini,20,20,1.3199999999999998,5.47,4.15,2.71052705632077
igt,reward_loss_emphasis,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,100.0,100.0,0.0,
igt,reward_loss_emphasis,net_score,GPT-5.4,GPT-5.4 Mini,20,20,93.4,72.5,-20.900000000000006,-2.7222117294063537
igt,reward_loss_emphasis,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
igt,reward_loss_emphasis,post_loss_switching_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.6193672993672994,0.3501923076923077,-0.2691749916749917,-1.597670621459952
igt,role_human,advantageous_choice_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.9285,0.858,-0.07050000000000001,-1.9737368594241531
igt,role_human,average_net_outcome,GPT-5.4,GPT-5.4 Mini,20,20,22.4375,20.6,-1.8374999999999986,-1.1588294847898546
igt,role_human,deck_A_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.0015,0.042,0.0405,4.645153777912551
igt,role_human,deck_B_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.07,0.1,0.03,0.8844497752917145
igt,role_human,deck_C_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.1575,0.021,-0.1365,-1.6359118141329978
igt,role_human,deck_D_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.771,0.837,0.06599999999999995,1.1800147881585337
igt,role_human,invalid_response_count,GPT-5.4,GPT-5.4 Mini,20,20,0.0,0.0,0.0,
igt,role_human,learning_curve_change,GPT-5.4,GPT-5.4 Mini,20,20,14.3,28.1,13.8,1.944835616416943
igt,role_human,learning_slope,GPT-5.4,GPT-5.4 Mini,20,20,2.86,5.6499999999999995,2.7899999999999996,1.9617371084052886
igt,role_human,n_trials,GPT-5.4,GPT-5.4 Mini,20,20,100.0,100.0,0.0,
igt,role_human,net_score,GPT-5.4,GPT-5.4 Mini,20,20,85.7,71.6,-14.100000000000009,-1.9737368594241542
igt,role_human,parse_success_rate,GPT-5.4,GPT-5.4 Mini,20,20,1.0,1.0,0.0,
igt,role_human,post_loss_switching_rate,GPT-5.4,GPT-5.4 Mini,20,20,0.6122060047795342,0.36204545454545456,-0.2501605502340797,-1.3967310823981125
