task,prompt_condition,metric,language,baseline_n,condition_n,language_prompt_effect,three_language_mean_prompt_effect,centered_prompt_effect,language_hedges_g,three_language_mean_hedges_g,standardised_centered_prompt_effect,bootstrap_unit,confidence_level,bootstrap_replicates,raw_valid_replicates,raw_valid_proportion,raw_interval_status,standardised_valid_replicates,standardised_valid_proportion,standardised_interval_status,raw_ci_lower,raw_ci_upper,standardised_ci_lower,standardised_ci_upper
igt,detailed,advantageous_choice_rate,zh-CN,20,20,-0.04499999999999993,-0.03366666666666666,-0.011333333333333272,-1.272392576392116,-1.4566425693561407,0.18424999296402467,independent_cell_run,0.95,2000,2000,1.0,report,1993,0.9965,report,-0.027333333333333286,0.005333333333333336,-0.4833837630390947,1.3160021223384237
igt,detailed,advantageous_choice_rate,es,20,20,-0.015000000000000013,-0.03366666666666666,0.018666666666666644,-2.172667166517036,-1.4566425693561407,-0.7160245971608952,independent_cell_run,0.95,2000,2000,1.0,report,1993,0.9965,report,0.006666666666666671,0.030999999999999993,-3.085655631323215,0.07689981292307943
igt,detailed,post_loss_switching_rate,en,20,20,0.06807984968554681,0.16801231174806888,-0.09993246206252207,0.651135525000119,2.4001099710265197,-1.7489744460264007,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,-0.14209690311880147,-0.0546859272514351,-4.650806579590798,-0.8841464264271848
igt,detailed,post_loss_switching_rate,zh-CN,20,20,0.3776163646853302,0.16801231174806888,0.20960405293726134,5.336549610765176,2.4001099710265197,2.9364396397386563,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,0.17177567746049754,0.24475417786090578,1.351285887640739,8.544172679985387
igt,detailed,post_loss_switching_rate,es,20,20,0.05834072087332964,0.16801231174806888,-0.10967159087473924,1.2126447773142646,2.4001099710265197,-1.1874651937122551,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,-0.14011114569367947,-0.07633642809240648,-4.046686739766614,-0.23038062894372272
igt,role_human,advantageous_choice_rate,en,20,20,-0.006000000000000005,0.0003333333333333706,-0.006333333333333376,-0.12203799590125464,0.17310590735120213,-0.29514390325245676,independent_cell_run,0.95,2000,2000,1.0,report,1924,0.962,report,-0.02833333333333332,0.015999999999999976,-0.7762757281138255,0.17327588381542033
igt,role_human,advantageous_choice_rate,zh-CN,20,20,0.004000000000000115,0.0003333333333333706,0.003666666666666744,0.07381407216006317,0.17310590735120213,-0.09929183519113896,independent_cell_run,0.95,2000,2000,1.0,report,1924,0.962,report,-0.020341666666666668,0.02600833333333331,-0.6010528654003375,0.3563344818128031
igt,role_human,advantageous_choice_rate,es,20,20,0.0030000000000000027,0.0003333333333333706,0.002666666666666632,0.5675416457947978,0.17310590735120213,0.3944357384435957,independent_cell_run,0.95,2000,2000,1.0,report,1924,0.962,report,-0.012333333333333307,0.01633333333333331,0.027058070035330336,0.768920641679862
igt,role_human,post_loss_switching_rate,en,20,20,0.04148705841884248,0.08863061785475579,-0.04714355943591331,0.38144928930630306,1.1729255446024762,-0.7914762552961732,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,-0.09289158281110124,-0.0008733081730459399,-1.3514470407269532,-0.37029817117100233
igt,role_human,post_loss_switching_rate,zh-CN,20,20,0.1988873379649242,0.08863061785475579,0.1102567201101684,2.4706091228242237,1.1729255446024762,1.2976835782217475,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,0.07098897035445949,0.14838098231655197,0.8736751724072674,1.9472945693921242
igt,role_human,post_loss_switching_rate,es,20,20,0.02551745718050069,0.08863061785475579,-0.0631131606742551,0.6667182216769015,1.1729255446024762,-0.5062073229255747,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,-0.09342102717946052,-0.033613697835839895,-1.0301806968782028,-0.060587272357730204
igt,reward_loss_emphasis,advantageous_choice_rate,en,20,20,0.06099999999999994,0.001666666666666668,0.05933333333333327,1.105730710807916,-0.04735118342107029,1.1530818942289862,independent_cell_run,0.95,2000,2000,1.0,report,1999,0.9995,report,0.035666666666666624,0.08199999999999996,0.6432342201066902,2.058616515627952
igt,reward_loss_emphasis,advantageous_choice_rate,zh-CN,20,20,-0.05999999999999994,0.001666666666666668,-0.06166666666666661,-1.5083920143238676,-0.04735118342107029,-1.4610408309027973,independent_cell_run,0.95,2000,2000,1.0,report,1999,0.9995,report,-0.08066666666666662,-0.042333333333333334,-2.2473133992348213,-0.9307907040205998
igt,reward_loss_emphasis,advantageous_choice_rate,es,20,20,0.0040000000000000036,0.001666666666666668,0.0023333333333333357,0.26060775325274077,-0.04735118342107029,0.3079589366738111,independent_cell_run,0.95,2000,2000,1.0,report,1999,0.9995,report,-0.01166666666666664,0.018333333333333313,-0.3212624726718848,0.7826001509993644
igt,reward_loss_emphasis,post_loss_switching_rate,en,20,20,-0.10107612769606777,0.0032927341416846834,-0.10436886183775246,-0.6871175829094278,0.25473733816398386,-0.9418549210734117,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,-0.1651687215600353,-0.041538345563017644,-1.5475213097277578,-0.4922254537750547
igt,reward_loss_emphasis,post_loss_switching_rate,zh-CN,20,20,0.08895497319785178,0.0032927341416846834,0.0856622390561671,0.9366127526826784,0.25473733816398386,0.6818754145186945,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,0.03796458064331004,0.13581967817242366,0.304218003623068,1.1275797868301325
igt,reward_loss_emphasis,post_loss_switching_rate,es,20,20,0.02199935692327004,0.0032927341416846834,0.018706622781585358,0.514716844718701,0.25473733816398386,0.2599795065547172,independent_cell_run,0.95,2000,2000,1.0,report,2000,1.0,report,-0.02166336533407372,0.05559324940095179,-0.19981238465735413,0.7785257961635
bart,detailed,adjusted_average_pumps,en,20,20,-0.2325780827338111,0.4661043986846553,-0.6986824814184665,-0.13463104152267305,0.34320915324468965,-0.4778401947673627,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-1.2199896705534607,-0.1931356315072879,-0.8872938381345055,-0.18058113564473374
bart,detailed,adjusted_average_pumps,zh-CN,20,20,0.2575296942788601,0.4661043986846553,-0.20857470440579523,0.1292633219920972,0.34320915324468965,-0.21394583125259245,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.7356757200968591,0.2889446862174209,-0.5860481454611631,0.054877832305047086
bart,detailed,adjusted_average_pumps,es,20,20,1.3733615845089169,0.4661043986846553,0.9072571858242615,1.0349951792646448,0.34320915324468965,0.6917860260199551,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.42536322379718916,1.4285634545232329,0.35178803886632903,1.2173637079603425
bart,detailed,explosion_rate,en,20,20,0.024999999999999967,0.023333333333333317,0.0016666666666666496,0.7242223888390111,0.7010745357392061,0.02314785309980505,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.008749999999999997,0.013333333333333346,-0.31694689671561366,0.45607972177393896
bart,detailed,explosion_rate,zh-CN,20,20,0.0025000000000000022,0.023333333333333317,-0.020833333333333315,0.08081103376648406,0.7010745357392061,-0.6202635019727221,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.03334375,-0.009156250000000038,-1.1731296530412274,-0.17250913590209477
bart,detailed,explosion_rate,es,20,20,0.04249999999999998,0.023333333333333317,0.019166666666666665,1.298190184612123,0.7010745357392061,0.597115648872917,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.009166666666666656,0.029166666666666657,0.2182528661018718,1.0716570618034726
bart,detailed,post_explosion_adjustment,en,20,20,-1.3069677544677545,-0.5095371757871758,-0.7974305786805787,-0.9531428180588161,-0.3847522808274115,-0.5683905372314046,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-1.3398955026455026,-0.2705526406463906,-1.172603397762587,-0.15338638889070103
bart,detailed,post_explosion_adjustment,zh-CN,20,20,-0.3086405261405262,-0.5095371757871758,0.20089664964664966,-0.2751242281649797,-0.3847522808274115,0.10962805266243175,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.21785047938172933,0.5951409678284678,-0.29699603092001675,0.5328855170131824
bart,detailed,post_explosion_adjustment,es,20,20,0.08699675324675321,-0.5095371757871758,0.5965339290339291,0.07401020374156136,-0.3847522808274115,0.45876248456897284,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.154238714988715,1.0420357374107372,0.11110179740106768,0.9388038815322982
bart,role_human,adjusted_average_pumps,en,20,20,-1.0922268562942232,-0.3723754195152769,-0.7198514367789464,-0.6595238916350739,-0.22599695163953096,-0.4335269399955429,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-1.2857825882502885,-0.209719461463851,-0.8137825214984624,-0.12097858343156369
bart,role_human,adjusted_average_pumps,zh-CN,20,20,0.004296122732579732,-0.3723754195152769,0.37667154224785665,0.00241179495309865,-0.22599695163953096,0.2284087465926296,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.03655388978844095,0.7449908574155824,0.027437828636722984,0.46625818066758845
bart,role_human,adjusted_average_pumps,es,20,20,-0.029195524984187315,-0.3723754195152769,0.3431798945310896,-0.02087875823661769,-0.22599695163953096,0.20511819340291326,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.15212991394268285,0.8813687787582476,-0.1572452693154952,0.6060026499387727
bart,role_human,explosion_rate,en,20,20,-0.023749999999999993,-0.016666666666666653,-0.007083333333333341,-0.6249677803146274,-0.45625774763756216,-0.16871003267706525,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.01833333333333334,0.004583333333333356,-0.5031275702838593,0.16546744049332218
bart,role_human,explosion_rate,zh-CN,20,20,-0.014999999999999958,-0.016666666666666653,0.0016666666666666947,-0.44124107132677165,-0.45625774763756216,0.015016676310790511,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.005416666666666681,0.008750000000000008,-0.20232117727237514,0.24762288266889673
bart,role_human,explosion_rate,es,20,20,-0.01125000000000001,-0.016666666666666653,0.0054166666666666426,-0.30256439127128737,-0.45625774763756216,0.1536933563662748,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.00416666666666667,0.014166666666666671,-0.13058680899764746,0.39021693465315377
bart,role_human,post_explosion_adjustment,en,20,20,-0.9835092685092686,-0.40269878269878273,-0.5808104858104859,-0.7411730794937192,-0.3005583205772169,-0.44061475891650237,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.9673563300125798,-0.1747942393254896,-0.8516736466240334,-0.13357894107862775
bart,role_human,post_explosion_adjustment,zh-CN,20,20,-0.3940513653013653,-0.40269878269878273,0.008647417397417423,-0.30134354715581657,-0.3005583205772169,-0.0007852265785996959,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.471869665057165,0.4804642880267878,-0.4155788561944055,0.41349611102574574
bart,role_human,post_explosion_adjustment,es,20,20,0.16946428571428568,-0.40269878269878273,0.5721630684130684,0.14084166491788516,-0.3005583205772169,0.44139998549510207,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.19224090608465616,0.9761226736226736,0.1639072571944451,0.8186569495633624
bart,risk_emphasis,adjusted_average_pumps,en,20,20,-0.09941161956734845,0.10031345210495098,-0.19972507167229941,-0.05717259858231098,0.06935211095111736,-0.12652470953342834,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.6670415386668778,0.28871291085348294,-0.43569381659137957,0.18955837238750972
bart,risk_emphasis,adjusted_average_pumps,zh-CN,20,20,0.19755320424744838,0.10031345210495098,0.0972397521424974,0.10975744178974048,0.06935211095111736,0.04040533083862312,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.2809381096607466,0.4581887565701345,-0.18671889536084418,0.24370029652738429
bart,risk_emphasis,adjusted_average_pumps,es,20,20,0.20279877163475302,0.10031345210495098,0.10248531952980204,0.15547148964592258,0.06935211095111736,0.08611937869480522,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.26358539044255336,0.44835769707107653,-0.16394474617448387,0.3584966478583926
bart,risk_emphasis,explosion_rate,en,20,20,0.016249999999999987,-0.0008333333333333434,0.01708333333333333,0.4459631988787269,0.009704486794085662,0.43625871208464123,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.0070833333333333295,0.02708333333333336,0.16953562154459,0.8209266904720713
bart,risk_emphasis,explosion_rate,zh-CN,20,20,-0.017500000000000016,-0.0008333333333333434,-0.016666666666666673,-0.38181441883689954,0.009704486794085662,-0.3915189056309852,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.028343750000000008,-0.005416666666666643,-0.7381520779865322,-0.1292852547635049
bart,risk_emphasis,explosion_rate,es,20,20,-0.0012500000000000011,-0.0008333333333333434,-0.00041666666666665775,-0.03503531965957035,0.009704486794085662,-0.044739806453656016,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.008749999999999999,0.008749999999999989,-0.28806560804549336,0.19238092165029483
bart,risk_emphasis,post_explosion_adjustment,en,20,20,-0.42620018870018866,0.056864293114293106,-0.48306448181448175,-0.3345597070747012,0.05849547050354774,-0.3930551775782489,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.9286752992377987,-0.02343177655677721,-0.8247380840892828,-0.03604460052903299
bart,risk_emphasis,post_explosion_adjustment,zh-CN,20,20,0.06647560772560768,0.056864293114293106,0.009611314611314571,0.0497183281512781,0.05849547050354774,-0.008777142352269639,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,-0.3939643978706477,0.38553548187923165,-0.34000920297122805,0.3348725137404052
bart,risk_emphasis,post_explosion_adjustment,es,20,20,0.5303174603174603,0.056864293114293106,0.4734531672031672,0.4603277904340663,0.05849547050354774,0.40183231993051854,matched_seed_block,0.95,2000,2000,1.0,report,2000,1.0,report,0.052646040302290385,0.8791889927202423,0.04121588326458199,0.8222016798659618
