task,prompt_condition,metric,model_a,model_b,model_a_n,model_b_n,model_a_mean,model_b_mean,model_b_minus_model_a,cross_model_hedges_g
horizon,uncertainty_emphasis,average_reward_per_trial,GPT-5.4,GPT-4.1,20,20,52.922666666666665,52.165333333333336,-0.7573333333333281,-0.3749405698171362
horizon,uncertainty_emphasis,directed_exploration,GPT-5.4,GPT-4.1,20,20,0.505,0.6875,0.1825,1.815514926811985
horizon,uncertainty_emphasis,exploration_rate,GPT-5.4,GPT-4.1,20,20,0.031071428571428573,0.15964285714285714,0.12857142857142856,4.764184095273589
horizon,uncertainty_emphasis,horizon_effect,GPT-5.4,GPT-4.1,20,20,0.015,0.0425,0.027500000000000004,0.30494565291965553
horizon,uncertainty_emphasis,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
horizon,uncertainty_emphasis,n_games,GPT-5.4,GPT-4.1,20,20,40.0,40.0,0.0,
horizon,uncertainty_emphasis,n_trials,GPT-5.4,GPT-4.1,20,20,300.0,300.0,0.0,
horizon,uncertainty_emphasis,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
horizon,uncertainty_emphasis,random_exploration_effect,GPT-5.4,GPT-4.1,20,20,0.28013895311632264,1.9206827803887874,1.6405438272724648,1.395129674043145
horizon,uncertainty_emphasis,switching_rate,GPT-5.4,GPT-4.1,20,20,0.3834448160535117,0.47525083612040137,0.09180602006688965,5.031923510554076
igt,baseline,advantageous_choice_rate,GPT-5.4,GPT-4.1,20,20,0.894,0.908,0.014000000000000012,0.30171251780357644
igt,baseline,average_net_outcome,GPT-5.4,GPT-4.1,20,20,22.2625,21.5375,-0.7249999999999979,-0.41914662361326804
igt,baseline,deck_A_rate,GPT-5.4,GPT-4.1,20,20,0.016,0.017,0.0010000000000000009,0.09932891792981557
igt,baseline,deck_B_rate,GPT-5.4,GPT-4.1,20,20,0.09000000000000001,0.07500000000000001,-0.015,-0.3846992449389787
igt,baseline,deck_C_rate,GPT-5.4,GPT-4.1,20,20,0.1575,0.331,0.17350000000000002,1.9153041913213185
igt,baseline,deck_D_rate,GPT-5.4,GPT-4.1,20,20,0.7365,0.577,-0.1595000000000001,-2.492602192872274
igt,baseline,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
igt,baseline,learning_curve_change,GPT-5.4,GPT-4.1,20,20,21.2,16.8,-4.399999999999999,-0.45928357345169935
igt,baseline,learning_slope,GPT-5.4,GPT-4.1,20,20,4.239999999999999,3.4999999999999996,-0.7399999999999998,-0.3994418347264729
igt,baseline,n_trials,GPT-5.4,GPT-4.1,20,20,100.0,100.0,0.0,
igt,baseline,net_score,GPT-5.4,GPT-4.1,20,20,78.8,81.6,2.799999999999997,0.30171251780357583
igt,baseline,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
igt,baseline,post_loss_switching_rate,GPT-5.4,GPT-4.1,20,20,0.6012228776125835,0.5696839372521532,-0.03153894036043037,-0.24825317994688884
igt,detailed,advantageous_choice_rate,GPT-5.4,GPT-4.1,20,20,0.935,0.867,-0.06800000000000006,-1.3840387031806172
igt,detailed,average_net_outcome,GPT-5.4,GPT-4.1,20,20,23.2125,21.35,-1.8624999999999972,-1.1326445687104916
igt,detailed,deck_A_rate,GPT-5.4,GPT-4.1,20,20,0.01,0.038,0.027999999999999997,2.851433620923855
igt,detailed,deck_B_rate,GPT-5.4,GPT-4.1,20,20,0.055,0.095,0.04,0.9949712959634454
igt,detailed,deck_C_rate,GPT-5.4,GPT-4.1,20,20,0.3255,0.29000000000000004,-0.035499999999999976,-0.304770514052223
igt,detailed,deck_D_rate,GPT-5.4,GPT-4.1,20,20,0.6095,0.577,-0.032500000000000084,-0.40565784730316207
igt,detailed,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
igt,detailed,learning_curve_change,GPT-5.4,GPT-4.1,20,20,13.0,22.8,9.8,1.026510009242646
igt,detailed,learning_slope,GPT-5.4,GPT-4.1,20,20,2.5999999999999996,4.68,2.08,1.0819684851336124
igt,detailed,n_trials,GPT-5.4,GPT-4.1,20,20,100.0,100.0,0.0,
igt,detailed,net_score,GPT-5.4,GPT-4.1,20,20,87.0,73.4,-13.599999999999994,-1.3840387031806152
igt,detailed,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
igt,detailed,post_loss_switching_rate,GPT-5.4,GPT-4.1,20,20,0.5609172631180744,0.6377637869377,0.07684652381962553,0.5478402810654174
igt,reward_loss_emphasis,advantageous_choice_rate,GPT-5.4,GPT-4.1,20,20,0.967,0.969,0.0020000000000000018,0.03653405692056311
igt,reward_loss_emphasis,average_net_outcome,GPT-5.4,GPT-4.1,20,20,23.7,24.2375,0.5375000000000014,0.22667495276885447
igt,reward_loss_emphasis,deck_A_rate,GPT-5.4,GPT-4.1,20,20,0.003,0.006,0.003,0.30638238950962526
igt,reward_loss_emphasis,deck_B_rate,GPT-5.4,GPT-4.1,20,20,0.030000000000000002,0.025,-0.005000000000000001,-0.10714280361776694
igt,reward_loss_emphasis,deck_C_rate,GPT-5.4,GPT-4.1,20,20,0.3635,0.4315,0.068,0.5220732396800758
igt,reward_loss_emphasis,deck_D_rate,GPT-5.4,GPT-4.1,20,20,0.6035,0.5375,-0.06600000000000006,-0.6804580981932572
igt,reward_loss_emphasis,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
igt,reward_loss_emphasis,learning_curve_change,GPT-5.4,GPT-4.1,20,20,6.6,6.0,-0.5999999999999996,-0.055825974798523956
igt,reward_loss_emphasis,learning_slope,GPT-5.4,GPT-4.1,20,20,1.3199999999999998,1.2199999999999998,-0.10000000000000009,-0.04610906971902438
igt,reward_loss_emphasis,n_trials,GPT-5.4,GPT-4.1,20,20,100.0,100.0,0.0,
igt,reward_loss_emphasis,net_score,GPT-5.4,GPT-4.1,20,20,93.4,93.8,0.3999999999999915,0.036534056920562295
igt,reward_loss_emphasis,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
igt,reward_loss_emphasis,post_loss_switching_rate,GPT-5.4,GPT-4.1,20,20,0.6193672993672994,0.4686078095560854,-0.150759489811214,-0.8364887083915017
igt,role_human,advantageous_choice_rate,GPT-5.4,GPT-4.1,20,20,0.9285,0.902,-0.026499999999999968,-0.568303814661837
igt,role_human,average_net_outcome,GPT-5.4,GPT-4.1,20,20,22.4375,21.5125,-0.9250000000000007,-0.4388688075024357
igt,role_human,deck_A_rate,GPT-5.4,GPT-4.1,20,20,0.0015,0.013000000000000001,0.011500000000000002,1.4567455706826313
igt,role_human,deck_B_rate,GPT-5.4,GPT-4.1,20,20,0.07,0.085,0.015,0.348831695651354
igt,role_human,deck_C_rate,GPT-5.4,GPT-4.1,20,20,0.1575,0.3075,0.15,1.6733037301466815
igt,role_human,deck_D_rate,GPT-5.4,GPT-4.1,20,20,0.771,0.5945,-0.1765,-3.130054719731794
igt,role_human,invalid_response_count,GPT-5.4,GPT-4.1,20,20,0.0,0.0,0.0,
igt,role_human,learning_curve_change,GPT-5.4,GPT-4.1,20,20,14.3,19.6,5.300000000000001,0.5683038146618377
igt,role_human,learning_slope,GPT-5.4,GPT-4.1,20,20,2.86,3.9199999999999995,1.0599999999999996,0.5683038146618374
igt,role_human,n_trials,GPT-5.4,GPT-4.1,20,20,100.0,100.0,0.0,
igt,role_human,net_score,GPT-5.4,GPT-4.1,20,20,85.7,80.4,-5.299999999999997,-0.5683038146618373
igt,role_human,parse_success_rate,GPT-5.4,GPT-4.1,20,20,1.0,1.0,0.0,
igt,role_human,post_loss_switching_rate,GPT-5.4,GPT-4.1,20,20,0.6122060047795342,0.6111709956709956,-0.0010350091085385982,-0.006112960236953045
